timestamp,src_ip,dst_ip,protocol,attack_type,severity,confidence,status
2026-01-07 22:39:09,172.22.177.9,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 51036.2028, threshold: 5.7983)"
2026-01-07 22:39:09,172.22.177.9,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 51036.0908, threshold: 5.7983)"
2026-01-07 22:39:32,172.22.177.9,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 38295.5912, threshold: 5.7983)"
2026-01-07 22:39:33,140.82.113.21,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 36758.7618, threshold: 5.7983)"
2026-01-07 22:39:33,172.22.177.9,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 36758.7794, threshold: 5.7983)"
2026-01-07 22:39:33,172.22.177.9,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 36797.6542, threshold: 5.7983)"
2026-01-07 22:39:33,34.49.39.67,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 38244.0890, threshold: 5.7983)"
2026-01-07 22:39:33,34.49.39.67,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 38245.0898, threshold: 5.7983)"
2026-01-07 22:39:33,172.22.177.9,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 38244.6715, threshold: 5.7983)"
2026-01-07 22:39:33,172.22.177.9,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 38350.0120, threshold: 5.7983)"
2026-01-07 22:39:34,172.22.177.9,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 38350.0120, threshold: 5.7983)"
2026-01-07 22:39:34,172.22.177.9,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 38350.0120, threshold: 5.7983)"
2026-01-07 22:39:34,35.186.247.105,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 59233.0951, threshold: 5.7983)"
2026-01-07 22:39:34,35.186.247.105,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 59233.0951, threshold: 5.7983)"
2026-01-07 22:39:34,172.22.177.9,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 59301.7945, threshold: 5.7983)"
2026-01-07 22:39:32,172.22.177.9,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 59301.7945, threshold: 5.7983)"
2026-01-07 22:39:32,172.22.177.9,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 59301.7945, threshold: 5.7983)"
2026-01-07 22:39:32,35.186.247.105,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 59233.0951, threshold: 5.7983)"
2026-01-07 22:39:32,35.186.247.105,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 59233.0951, threshold: 5.7983)"
2026-01-07 22:39:32,35.186.247.105,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 59233.0951, threshold: 5.7983)"
2026-01-07 22:39:32,35.186.247.105,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 59233.0951, threshold: 5.7983)"
2026-01-07 22:39:33,172.22.177.9,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 59301.7945, threshold: 5.7983)"
2026-01-07 22:39:34,172.22.177.9,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 42828.3989, threshold: 5.7983)"
2026-01-07 22:39:34,34.49.39.67,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 42827.7996, threshold: 5.7983)"
2026-01-07 22:39:34,172.22.177.9,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 42828.3860, threshold: 5.7983)"
2026-01-07 22:39:34,172.22.177.9,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 42873.8621, threshold: 5.7983)"
2026-01-07 22:39:34,34.49.39.67,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 42827.7866, threshold: 5.7983)"
2026-01-07 22:39:35,34.49.39.67,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 42828.6803, threshold: 5.7983)"
